term,term_count,term_ratio,doc_count,doc_ratio,sample_size
police,1286,0.2572,1277,0.2554,5000
riot,976,0.195,974,0.195,5000
protest,774,0.155,772,0.154,5000
protesters,668,0.134,667,0.133,5000
protests,521,0.104,521,0.104,5000
capitol,314,0.0628,314,0.0628,5000
anti,308,0.0616,307,0.0614,5000
bill,289,0.0578,289,0.0578,5000
kill,265,0.053,265,0.053,5000
arrested,254,0.0508,254,0.0508,5000
trump,250,0.05,250,0.05,5000
riots,233,0.0466,233,0.0466,5000
bristol,225,0.045,224,0.0448,5000
man,224,0.0448,223,0.0446,5000
violence,208,0.0416,208,0.0416,5000
violent,201,0.0402,201,0.0402,5000
clash,192,0.0384,192,0.0384,5000
cops,187,0.0374,186,0.0372,5000
fire,181,0.0362,181,0.0362,5000
jailed,164,0.0328,164,0.0328,5000
thousands,159,0.0318,159,0.0318,5000
people,156,0.0312,156,0.0312,5000
disorder,152,0.0304,152,0.0304,5000
new,152,0.0304,151,0.0302,5000
lockdown,148,0.0296,147,0.0294,5000
right,142,0.0284,142,0.0284,5000
officers,140,0.028,140,0.028,5000
pro,139,0.0278,134,0.0268,5000
outside,134,0.0268,134,0.0268,5000
charged,129,0.0258,128,0.0256,5000
uk,123,0.0246,123,0.0246,5000
black,123,0.0246,122,0.0244,5000
far,121,0.0242,121,0.0242,5000
southport,120,0.024,120,0.024,5000
hotel,118,0.0236,118,0.0236,5000
attack,116,0.0232,116,0.0232,5000
london,115,0.023,115,0.023,5000
set,112,0.0224,112,0.0224,5000
george,111,0.0222,111,0.0222,5000
tear,108,0.0216,108,0.0216,5000
city,106,0.0212,104,0.0208,5000
rioters,106,0.0212,106,0.0212,5000
streets,100,0.02,100,0.02,5000
rally,100,0.02,100,0.02,5000
clashes,100,0.02,100,0.02,5000
lives,100,0.02,99,0.0198,5000
gas,99,0.0198,99,0.0198,5000
march,99,0.0198,99,0.0198,5000
prison,95,0.019,95,0.019,5000
matter,95,0.019,95,0.019,5000
hundreds,94,0.0188,94,0.0188,5000
jan,93,0.0186,93,0.0186,5000
arrest,91,0.0182,91,0.0182,5000
hong,90,0.018,90,0.018,5000
kong,90,0.018,90,0.018,5000
protester,90,0.018,90,0.018,5000
down,89,0.0178,89,0.0178,5000
rioter,87,0.0174,87,0.0174,5000
floyd,87,0.0174,87,0.0174,5000
war,87,0.0174,87,0.0174,5000
court,86,0.0172,86,0.0172,5000
chaos,85,0.017,84,0.0168,5000
portland,84,0.0168,84,0.0168,5000
injured,83,0.0166,83,0.0166,5000
arrests,82,0.0164,82,0.0164,5000
night,81,0.0162,80,0.016,5000
thugs,81,0.0162,81,0.0162,5000
government,80,0.016,79,0.0158,5000
woman,77,0.0154,77,0.0154,5000
asylum,77,0.0154,77,0.0154,5000
face,77,0.0154,77,0.0154,5000
jail,75,0.015,75,0.015,5000
death,74,0.0148,74,0.0148,5000
covid,73,0.0146,73,0.0146,5000
following,72,0.0144,72,0.0144,5000
day,72,0.0144,71,0.0142,5000
paris,72,0.0144,72,0.0144,5000
officer,71,0.0142,71,0.0142,5000
january,70,0.014,70,0.014,5000
rioting,69,0.0138,69,0.0138,5000
mob,69,0.0138,69,0.0138,5000
putin,67,0.0134,67,0.0134,5000
trial,66,0.0132,63,0.0126,5000
palestinian,66,0.0132,65,0.013,5000
moment,65,0.013,65,0.013,5000
blm,64,0.0128,64,0.0128,5000
leader,63,0.0126,62,0.0124,5000
melbourne,62,0.0124,62,0.0124,5000
calls,61,0.0122,61,0.0122,5000
coronavirus,60,0.012,60,0.012,5000
french,60,0.012,60,0.012,5000
britain,59,0.0118,59,0.0118,5000
university,59,0.0118,59,0.0118,5000
activists,59,0.0118,59,0.0118,5000
proud,59,0.0118,59,0.0118,5000
russia,58,0.0116,58,0.0116,5000
palestine,58,0.0116,58,0.0116,5000
attacked,57,0.0114,57,0.0114,5000
scenes,57,0.0114,57,0.0114,5000
house,56,0.0112,54,0.0108,5000
