week_end,Daily Mail,Evening Standard,The Guardian
2020-01-06 23:59:59.999999999,5,1,3
2020-01-13 23:59:59.999999999,14,1,1
2020-01-20 23:59:59.999999999,7,0,2
2020-01-27 23:59:59.999999999,6,0,2
2020-02-03 23:59:59.999999999,4,0,1
2020-02-10 23:59:59.999999999,1,1,1
2020-02-17 23:59:59.999999999,2,0,1
2020-02-24 23:59:59.999999999,3,2,2
2020-03-02 23:59:59.999999999,9,0,2
2020-03-09 23:59:59.999999999,8,2,2
2020-03-16 23:59:59.999999999,4,1,1
2020-03-23 23:59:59.999999999,1,0,1
2020-03-30 23:59:59.999999999,4,1,2
2020-04-13 23:59:59.999999999,4,0,1
2020-04-27 23:59:59.999999999,5,1,2
2020-05-04 23:59:59.999999999,4,0,3
2020-05-11 23:59:59.999999999,4,0,2
2020-05-18 23:59:59.999999999,5,1,0
2020-05-25 23:59:59.999999999,4,0,0
2020-06-01 23:59:59.999999999,49,6,15
2020-06-08 23:59:59.999999999,70,17,8
2020-06-15 23:59:59.999999999,30,5,6
2020-06-22 23:59:59.999999999,17,3,1
2020-06-29 23:59:59.999999999,21,5,5
2020-07-06 23:59:59.999999999,19,1,1
2020-07-13 23:59:59.999999999,13,1,0
2020-07-20 23:59:59.999999999,9,1,1
2020-07-27 23:59:59.999999999,7,1,3
2020-08-03 23:59:59.999999999,6,1,1
2020-08-10 23:59:59.999999999,11,2,4
2020-08-17 23:59:59.999999999,14,0,9
2020-08-24 23:59:59.999999999,11,0,5
2020-08-31 23:59:59.999999999,21,4,1
2020-09-07 23:59:59.999999999,19,2,1
2020-09-14 23:59:59.999999999,8,0,5
2020-09-21 23:59:59.999999999,5,0,3
2020-09-28 23:59:59.999999999,10,3,5
2020-10-05 23:59:59.999999999,5,1,2
2020-10-12 23:59:59.999999999,6,2,3
2020-10-19 23:59:59.999999999,6,3,5
2020-10-26 23:59:59.999999999,8,2,2
2020-11-02 23:59:59.999999999,22,0,6
2020-11-09 23:59:59.999999999,9,1,1
2020-11-16 23:59:59.999999999,10,1,3
2020-11-23 23:59:59.999999999,8,0,0
2020-11-30 23:59:59.999999999,7,0,2
2020-12-07 23:59:59.999999999,4,0,1
2020-12-14 23:59:59.999999999,6,1,0
2020-12-28 23:59:59.999999999,2,0,0
2021-01-04 23:59:59.999999999,5,0,0
2021-01-11 23:59:59.999999999,59,6,13
2021-01-18 23:59:59.999999999,72,7,16
2021-01-25 23:59:59.999999999,38,4,7
2021-02-01 23:59:59.999999999,26,2,7
2021-02-08 23:59:59.999999999,25,0,3
2021-02-15 23:59:59.999999999,23,3,7
2021-02-22 23:59:59.999999999,15,0,1
2021-03-01 23:59:59.999999999,11,0,2
2021-03-08 23:59:59.999999999,14,2,3
2021-03-15 23:59:59.999999999,9,1,1
2021-03-22 23:59:59.999999999,7,1,5
2021-03-29 23:59:59.999999999,13,8,3
2021-04-05 23:59:59.999999999,5,4,2
2021-04-12 23:59:59.999999999,6,2,6
2021-04-19 23:59:59.999999999,16,0,2
2021-04-26 23:59:59.999999999,10,0,5
2021-05-03 23:59:59.999999999,8,0,3
2021-05-10 23:59:59.999999999,12,1,8
2021-05-17 23:59:59.999999999,16,3,2
2021-05-24 23:59:59.999999999,7,1,1
2021-05-31 23:59:59.999999999,10,0,3
2021-06-07 23:59:59.999999999,12,1,2
2021-06-14 23:59:59.999999999,13,0,1
